checkpoint,universe,period,return_pct,annualized_pct,sortino,max_dd_pct,num_trades,win_rate,avg_hold
autoresearch_daily/baseline_anneal_lr,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,90,11.75,56.91,1.444,29.76,67,59.7,1.3
autoresearch_daily/baseline_anneal_lr,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,120,-21.55,-52.2,-0.889,35.42,89,56.2,1.3
autoresearch_daily/baseline_anneal_lr,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,180,-46.76,-72.15,-1.721,52.69,130,50.8,1.4
autoresearch_daily/clip_anneal,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,30,-4.12,-40.04,-0.478,21.64,25,56.0,1.2
autoresearch_daily/clip_anneal,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,60,15.01,134.13,2.129,21.47,44,59.1,1.4
autoresearch_daily/clip_anneal,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,90,15.18,77.41,1.721,20.85,69,56.5,1.3
autoresearch_daily/clip_anneal,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,120,-29.55,-65.54,-1.498,41.91,90,52.2,1.3
autoresearch_daily/clip_anneal,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,180,-78.83,-95.71,-3.897,82.25,144,41.7,1.2
autoresearch_daily/clip_vloss,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,30,-6.45,-55.58,-1.017,17.15,20,50.0,1.5
autoresearch_daily/clip_vloss,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,60,-6.02,-31.46,-0.042,27.6,42,50.0,1.4
autoresearch_daily/clip_vloss,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,90,1.58,6.58,0.659,29.14,65,53.8,1.4
autoresearch_daily/clip_vloss,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,120,-33.48,-71.06,-1.744,36.8,85,55.3,1.4
autoresearch_daily/clip_vloss,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,180,-75.02,-94.0,-3.312,75.58,130,47.7,1.4
autoresearch_daily/cosine_lr,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,30,-7.48,-61.15,-1.011,26.41,25,48.0,1.2
autoresearch_daily/cosine_lr,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,60,-22.35,-78.53,-1.667,36.32,41,48.8,1.5
autoresearch_daily/cosine_lr,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,90,-18.52,-56.42,-0.879,37.25,60,48.3,1.5
autoresearch_daily/cosine_lr,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,120,-26.78,-61.25,-1.126,36.36,83,45.8,1.4
autoresearch_daily/cosine_lr,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,180,-37.14,-60.99,-0.802,46.25,117,47.0,1.5
autoresearch_daily/downside_pen,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,30,-4.29,-41.37,-0.568,19.01,21,66.7,1.4
autoresearch_daily/downside_pen,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,60,0.94,5.83,0.706,18.8,44,56.8,1.4
autoresearch_daily/downside_pen,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,90,17.27,90.79,1.864,20.24,70,60.0,1.3
autoresearch_daily/downside_pen,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,120,-13.43,-35.51,-0.342,22.78,93,55.9,1.3
autoresearch_daily/downside_pen,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,180,-65.32,-88.32,-2.67,69.21,131,48.9,1.4
autoresearch_daily/ent_001,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,30,1.5,19.82,0.801,21.42,23,56.5,1.3
autoresearch_daily/ent_001,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,60,-3.48,-19.37,0.211,23.9,40,55.0,1.5
autoresearch_daily/ent_001,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,90,-16.45,-51.75,-0.881,35.32,60,46.7,1.5
autoresearch_daily/ent_001,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,120,-40.57,-79.46,-2.227,47.13,82,46.3,1.5
autoresearch_daily/ent_001,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,180,-58.55,-83.24,-1.919,62.46,125,48.0,1.4
autoresearch_daily/ent_01,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,30,-12.08,-79.13,-2.046,23.65,23,60.9,1.3
autoresearch_daily/ent_01,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,60,31.18,421.18,3.836,20.25,41,68.3,1.5
autoresearch_daily/ent_01,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,90,55.2,494.53,4.526,20.69,58,62.1,1.6
autoresearch_daily/ent_01,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,120,7.09,23.18,0.968,35.81,84,54.8,1.4
autoresearch_daily/ent_01,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,180,-24.43,-43.33,-0.52,53.04,123,52.8,1.5
autoresearch_daily/ent_anneal,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,30,-5.34,-48.74,-0.834,18.46,25,60.0,1.2
autoresearch_daily/ent_anneal,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,60,3.33,22.06,0.946,23.03,44,59.1,1.4
autoresearch_daily/ent_anneal,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,90,0.16,0.63,0.511,21.01,71,56.3,1.3
autoresearch_daily/ent_anneal,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,120,-24.25,-57.04,-1.116,32.38,96,56.2,1.2
autoresearch_daily/ent_anneal,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,180,-57.67,-82.5,-2.015,64.64,140,53.6,1.3
autoresearch_daily/envs_256,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,30,-18.79,-92.06,-4.29,24.7,26,53.8,1.2
autoresearch_daily/envs_256,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,60,-5.71,-30.09,-0.046,25.39,45,51.1,1.3
autoresearch_daily/envs_256,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,90,29.05,181.33,2.669,23.2,64,59.4,1.4
